date,max_temp,min_temp,rainfall_mm
2025-08-01,21.6,5.5,0
2025-08-02,16.5,12.7,1.6
2025-08-03,14.6,10.1,31.0
2025-08-04,17.4,7.6,16.0
2025-08-05,18.0,9.4,2.0
2025-08-06,20.2,8.8,1.0
2025-08-07,21.0,4.8,0
2025-08-08,21.9,12.6,0
2025-08-09,18.4,13.1,19.2
2025-08-10,17.8,11.1,17.4
2025-08-11,19.5,8.1,0.6
2025-08-12,24.1,5.3,0
2025-08-13,26.1,9.7,0
2025-08-14,17.1,12.2,21.2
2025-08-15,17.6,2.6,0.6
2025-08-16,19.5,2.7,0.2
2025-08-17,20.1,7.4,0
2025-08-18,22.4,10.3,0
2025-08-19,19.5,15.3,0
2025-08-20,20.2,13.5,20.0
2025-08-21,18.7,9.0,8.4
2025-08-22,20.1,8.7,2.8
2025-08-23,22.9,6.7,0
2025-08-24,17.6,11.4,7.6
2025-08-25,11.4,8.2,20.2
2025-08-26,16.0,7.1,21.4
2025-08-27,16.5,6.3,0
2025-08-28,17.7,5.1,12.6
2025-08-29,19.5,5.0,0
2025-08-30,20.0,5.4,0
2025-08-31,21.7,4.8,0
2025-09-01,20.5,4.3,0
2025-09-02,21.0,8.5,0
2025-09-03,21.3,7.2,0.2
2025-09-04,19.6,8.0,0
2025-09-05,17.6,11.4,0.2
2025-09-06,16.5,10.2,32.8
2025-09-07,18.0,8.9,12.0
2025-09-08,15.2,6.5,10.6
2025-09-09,17.2,3.9,0
2025-09-10,20.1,4.0,0.2
2025-09-11,22.8,6.2,0
2025-09-12,26.5,8.0,0
2025-09-13,23.0,15.2,1.2
2025-09-14,17.9,14.6,11.8
2025-09-15,16.5,11.3,8.8
2025-09-16,18.7,6.0,1.4
2025-09-17,20.2,10.9,1.4
2025-09-18,18.5,9.6,13.2
2025-09-19,20.2,12.0,2.0
2025-09-20,22.9,8.6,0.2
2025-09-21,27.1,9.9,0.2
2025-09-22,27.4,13.1,0
2025-09-23,28.5,11.0,0
2025-09-24,30.1,9.4,0
2025-09-25,28.1,8.0,0
2025-09-26,22.5,14.6,0
2025-09-27,21.0,10.2,0
2025-09-28,19.9,12.4,0.2
2025-09-29,20.7,13.1,2.0
2025-09-30,20.7,8.6,0.2
2025-10-01,21.9,10.8,0
2025-10-02,27.4,7.8,0
2025-10-03,22.8,9.0,0
2025-10-04,23.3,14.7,4.4
2025-10-05,17.2,12.4,15.4
2025-10-06,19.7,7.7,0
2025-10-07,18.9,9.1,0
2025-10-08,19.6,9.5,0.2
2025-10-09,19.7,9.3,0
2025-10-10,20.8,12.5,0
2025-10-11,21.1,7.2,0
2025-10-12,24.6,9.0,0
2025-10-13,25.4,10.6,0
2025-10-14,24.2,10.7,0
2025-10-15,22.2,14.5,0
2025-10-16,24.2,11.8,0
2025-10-17,30.3,12.2,0
2025-10-18,22.6,17.4,0.2
2025-10-19,21.6,12.3,0
2025-10-20,17.7,10.0,4.2
2025-10-21,20.9,10.2,16.6
2025-10-22,23.1,10.1,0.2
2025-10-23,20.6,12.4,0
2025-10-24,20.9,12.6,0.8
2025-10-25,21.3,11.2,4.8
2025-10-26,22.7,10.2,1.2
2025-10-27,26.8,12.1,0
2025-10-28,34.8,13.5,0
2025-10-29,21.9,15.8,4.2
2025-10-30,22.9,12.6,0.8
2025-10-31,23.7,12.5,1.6
2025-11-01,20.6,15.7,4.4
2025-11-02,24.3,7.6,0
2025-11-03,30.1,12.9,0
2025-11-04,26.4,19.1,0
2025-11-05,24.9,14.7,7.2
2025-11-06,22.8,16.7,0
2025-11-07,25.5,12.8,0
2025-11-08,27.7,13.5,0
2025-11-09,29.8,14.5,0
2025-11-10,30.8,14.9,0
2025-11-11,33.9,16.5,0
2025-11-12,30.6,14.7,0
2025-11-13,24.1,14.6,0
2025-11-14,24.1,13.3,0
2025-11-15,23.4,10.8,0
2025-11-16,27.7,13.7,0
2025-11-17,34.5,14.7,0
2025-11-18,30.4,18.9,0
2025-11-19,30.1,18.0,0
2025-11-20,31.0,17.8,0.4
2025-11-21,30.3,17.1,0
2025-11-22,25.0,18.7,0
2025-11-23,21.8,15.9,0.6
2025-11-24,21.8,15.2,3.0
2025-11-25,22.7,15.7,0
2025-11-26,24.3,13.9,1.2
2025-11-27,22.6,11.7,0
2025-11-28,23.3,11.5,0
2025-11-29,26.5,13.7,0
2025-11-30,35.0,16.3,0
2025-12-01,39.0,16.4,0
2025-12-02,33.2,16.8,0
2025-12-03,25.6,16.7,0
2025-12-04,25.6,14.6,0
2025-12-05,24.1,15.5,0
2025-12-06,28.0,14.9,0
2025-12-07,27.7,15.0,0
2025-12-08,28.3,16.7,0
2025-12-10,34.5,16.8,0
2025-12-11,32.4,18.2,0
2025-12-12,35.7,19.4,0
2025-12-13,36.9,18.2,0
2025-12-14,40.1,22.3,0
2025-12-15,33.9,22.3,15.2
2025-12-16,30.7,21.3,0
2025-12-17,24.6,20.2,0
2025-12-18,31.1,16.1,0
2025-12-19,30.6,17.1,0
2025-12-20,25.9,15.8,0
2025-12-21,25.6,13.8,0
2025-12-22,29.7,16.1,0
2025-12-23,35.0,17.0,0
2025-12-24,38.2,18.2,0
2025-12-25,42.1,24.2,0
2025-12-26,25.4,21.4,0
2025-12-27,23.5,11.7,0.6
2025-12-28,27.3,15.4,0
2025-12-29,30.5,17.0,0
2025-12-30,31.5,16.5,0
2025-12-31,33.4,17.1,0
2026-01-01,37.3,17.1,0
2026-01-02,37.2,22.2,0
2026-01-03,32.7,22.3,0
2026-01-04,32.5,20.2,0
2026-01-05,31.3,19.5,0
2026-01-06,29.5,19.5,0
2026-01-07,29.3,18.3,0
2026-01-08,26.3,16.4,0
2026-01-09,27.6,16.4,0
2026-01-10,30.1,16.2,0
2026-01-11,34.1,16.1,0
2026-01-12,31.8,20.5,0.4
